"";"Genes"
"1081";"AT5G45080"
"1082";"AT3G14990"
"1083";"AT5G27610"
"1084";"AT5G52870"
"1085";"AT1G04200"
"1086";"AT3G16270"
"1087";"AT1G52200"
"1088";"AT3G12580"
"1089";"AT2G28630"
"1090";"AT3G15300"
"1091";"AT4G33180"
"1092";"AT5G38310"
"1093";"AT5G56170"
"1094";"AT1G74590"
"1095";"AT5G41680"
"1096";"AT1G14540"
"1097";"AT1G48315"
"1098";"AT4G25380"
"1099";"AT3G07960"
"1100";"AT2G17760"
"1101";"AT1G67530"
"1102";"AT1G51900"
"1103";"AT3G61760"
"1104";"AT5G47120"
"1105";"AT2G18685"
"1106";"AT5G61260"
"1107";"AT1G36622"
"1108";"AT1G14740"
"1109";"AT5G01210"
"1110";"AT5G54810"
"1111";"AT3G57880"
"1112";"AT2G04070"
"1113";"AT1G61380"
"1114";"AT5G62180"
"1115";"AT5G44480"
"1116";"AT1G22410"
"1117";"AT4G08230"
"1118";"AT4G08850"
"1119";"AT2G19160"
"1120";"AT1G54960"
"1121";"AT4G30600"
"1122";"AT4G11470"
"1123";"AT3G54420"
"1124";"AT5G03390"
"1125";"AT5G09420"
"1126";"AT1G60440"
"1127";"AT2G33490"
"1128";"AT3G19020"
"1129";"AT1G53330"
"1130";"AT1G22885"
"1131";"AT3G22930"
"1132";"AT2G28400"
"1133";"AT1G12290"
"1134";"AT5G43190"
"1135";"AT5G05100"
"1136";"AT1G65484"
"1137";"AT3G14840"
"1138";"AT4G34180"
"1139";"AT5G44910"
"1140";"AT3G55730"
"1141";"AT3G05050"
"1142";"AT4G23470"
"1143";"AT1G10700"
"1144";"AT1G13540"
"1145";"AT1G21280"
"1146";"AT1G70740"
"1147";"AT2G21188"
"1148";"AT4G36945"
"1149";"AT5G41730"
"1150";"AT4G11330"
